"Barcode";"Name";"Volume";"Count"
"7801620004538";"WATT'S UVA LIGHT 6PF-PET 400";"400";"23"
"7801608001719";"Acuenta Gaseosa sabor Frutal Libre de Azucar";"2000";"31"
"7891991013512";"Guarana Antartica Zero";"350";"109"
"856820160055";"Steaz lightly sweetened Uced Green tea blueberry pomegranate";"473";"4"
"7801620505066";"PORVENIR S/GAS 6PF-PET 1500";"1500";"154"
"7801620006914";"PURE LIFE SIN GAS 6PF-PET 2000";"2000";"40"
"7801620079444";"Kem Mango Durazno";"500";"49"
"7801620007621";"Mas sin gas Manzana Durazno";"500";"1720"
"7808731301396";"Mc libre de sodio";"500";"11"
"7802820600308";"Vital Pet 600cc Soft *12";"600";"2"
"7801620006976";"Gatorade Green Apple";"1000";"3"
"7801610032718";"tai papaya pet 2 lts";"2000";"75"
"7801620003265";"Mas sin Gas Manzana Durazno";"500";"338"
"7801602219059";"Socos Agua Termal Manzana";"500";"5"
"7801620006792";"LIPTON DURAZNO 0%AZ 6PF-PET400";"400";"29"
"87167054";"CERVEZA GROLSCH";"330";"345"
"7802100002525";"Stone Maracuya";"350";"2695"
"5999884034469";"Hell Enery Drink";"250";"22"
"8410793000552";"Tagus Cerveza Lager";"330";"164"
"7790895067556";"Coca Cola Zero 1.5L Pet C N 1x6 - 28*5";"1500";"5"
"7808731303284";"Portillo Agua";"500";"8"
"7790895001208";"Glaceau Vitamin Water";"500";"68"
"7801620007317";"PEPSI ZERO 6PF-PET 1750-TR";"1750";"40"
"7807910023364";"Jumbo Agua Purificada Sin Gas";"1500";"18"
"7801620007133";"MAS CACHANTUN GRANADA 6PFX4-PET250-TR";"250";"58"
"4054500114015";"Cerveza Importada";"500";"278"
"7804660340000";"Unplug Beer";"330";"142"
"7801620005290";"KEM ZERO 6PF-PET 3000";"3000";"1"
"7802820021905";"Vital Pet 2.0 Lt X6 Sin Gas";"2000";"33"
"76406022601";"Jumex Coconut Pinaapple";"335";"390"
"786162003690";"Glaceau Smartwater PT500 X6 S/G";"500";"13"
"7802408000421";"Fruna Orange";"500";"57"
"9120016590331";"ENERGIZANTE SHOT & GO";"500";"16"
"7804604722701";"Liv Agua Mineral";"1500";"66"
"7804167001770";"Lider Agua Zero Azucar Pera";"1000";"33"
"7801608001696";"Acuenta Gaseosa sabor Cola";"2000";"38"
"7809595602322";"Puyehue Sin Gas";"1500";"247"
"7790895002656";"COCA COLA 375 PET X 6";"375";"2"
"7804604726549";"Tottus Agua Minera Sin gas";"1600";"17"
"7802800545230";"Zuko Damasco";"1500";"3"
"7802820001082";"Andina Low Cal Frutilla 0% PT1.5 X6";"1500";"369"
"7801610220078";"Van Pur Premium";"500";"346"
"7801610610275";"Nordic Ginger Ale MC PT500X6";"500";"6"
"7801610481028";"Aquarius Uva";"500";"245"
"7801620001896";"GINGER ALE 6PF-PET 3000";"3000";"4"
"7802130001147";"Becker";"740";"1526"
"7801620007560";"7UP LIGHT 6PF-PET 1500";"1500";"230"
"7801620007249";"Watts Naranja";"1750";"384"
"7802800544653";"Livean Nectar 0% Arandano";"1500";"273"
"7802800544622";"Livean Nectar Durazno";"1500";"612"
"61314000032";"Evian";"500";"604"
"7501013100914";"Jumex Nectar Arandano";"500";"3"
"7801620001643";"LIMON SODA PET 3000 X 06";"3000";"1"
"7802900610081";"Soprole Next saabor Frambueza";"500";"2"
"4014086096365";"50 Original Cerveza";"330";"116"
"7801622119049";"Agua Mineral Eden";"500";"242"
"7801620007430";"LIMON SODA 6PF-PET 1750-TR";"1750";"66"
"7801620007393";"BILZ 6PF-PET 1750-TR";"1750";"67"
"7802107000098";"KUNSTM-TOROB 4PCX6-LAT350";"350";"109"
